SerialNo,SaleId,ProductId,IsSaleOnTp,Quantity,Bonus,Price,DiscRatio1,DiscRatio2,STValue,STRatio,TTLValue,TTLSalestax,IsDeleted,Description
185,85,00339,True,48.000000000,0,3000.0000,0.00,0.00,0.00,0.00,144000.00,0.00,False,
186,85,00340,True,60.000000000,0,2800.0000,0.00,0.00,0.00,0.00,168000.00,0.00,False,
187,86,00049,True,44.000000000,0,1550.0000,0.00,0.00,0.00,0.00,68200.00,0.00,False,
189,86,00052,True,44.000000000,0,3300.0000,0.00,0.00,0.00,0.00,145200.00,0.00,False,
188,86,00211,True,8.000000000,0,2175.0000,0.00,0.00,0.00,0.00,17400.00,0.00,False,
190,87,00052,True,60.000000000,0,3300.0000,0.00,0.00,0.00,0.00,198000.00,0.00,False,
191,88,00052,True,44.000000000,0,3300.0000,0.00,0.00,0.00,0.00,145200.00,0.00,False,
192,89,00047,True,120.000000000,0,4000.0000,0.00,0.00,0.00,0.00,480000.00,0.00,False,
193,90,00010,True,200.000000000,0,77.0000,0.00,0.00,0.00,0.00,15400.00,0.00,False,
194,90,00233,True,200.000000000,0,70.0000,0.00,0.00,0.00,0.00,14000.00,0.00,False,
195,90,00248,True,25.000000000,0,92.0000,0.00,0.00,0.00,0.00,2300.00,0.00,False,
198,91,00010,True,500.000000000,0,77.0000,0.00,0.00,0.00,0.00,38500.00,0.00,False,
211,91,00016,True,10.000000000,0,2700.0000,0.00,0.00,0.00,0.00,27000.00,0.00,False,
200,91,00022,True,30.000000000,0,2310.0000,0.00,0.00,0.00,0.00,69300.00,0.00,False,
204,91,00024,True,48.000000000,0,1430.0000,0.00,0.00,0.00,0.00,68640.00,0.00,False,
209,91,00030,True,1200.000000000,0,64.0000,0.00,0.00,0.00,0.00,76800.00,0.00,False,
199,91,00032,True,60.000000000,0,742.0000,0.00,0.00,0.00,0.00,44520.00,0.00,False,
201,91,00038,True,5.000000000,0,7500.0000,0.00,0.00,0.00,0.00,37500.00,0.00,False,
203,91,00052,True,12.000000000,0,6000.0000,0.00,0.00,0.00,0.00,72000.00,0.00,False,
202,91,00054,True,24.000000000,0,1420.0000,0.00,0.00,0.00,0.00,34080.00,0.00,False,
205,91,00064,True,60.000000000,0,600.0000,0.00,0.00,0.00,0.00,36000.00,0.00,False,
206,91,00091,True,8.000000000,0,2500.0000,0.00,0.00,0.00,0.00,20000.00,0.00,False,
213,91,00121,True,75.000000000,0,700.0000,0.00,0.00,0.00,0.00,52500.00,0.00,False,
207,91,00151,True,60.000000000,0,500.0000,0.00,0.00,0.00,0.00,30000.00,0.00,False,
208,91,00187,True,12.000000000,0,6000.0000,0.00,0.00,0.00,0.00,72000.00,0.00,False,
197,91,00201,True,200.000000000,0,158.0000,0.00,0.00,0.00,0.00,31600.00,0.00,False,
212,91,00212,True,10.000000000,0,5016.0000,0.00,0.00,0.00,0.00,50160.00,0.00,False,
210,91,00220,True,10.000000000,0,1540.0000,0.00,0.00,0.00,0.00,15400.00,0.00,False,
196,91,00233,True,200.000000000,0,70.0000,0.00,0.00,0.00,0.00,14000.00,0.00,False,
214,92,00363,True,100.000000000,0,15400.0000,0.00,0.00,0.00,0.00,1540000.00,0.00,False,
215,93,00197,True,100.000000000,0,3850.0000,0.00,0.00,0.00,0.00,385000.00,0.00,False,
217,94,00051,True,8.000000000,0,4800.0000,0.00,0.00,0.00,0.00,38400.00,0.00,False,
216,94,00170,True,16.000000000,0,2800.0000,0.00,0.00,0.00,0.00,44800.00,0.00,False,
219,95,00022,True,10.000000000,0,2310.0000,0.00,0.00,0.00,0.00,23100.00,0.00,False,
220,95,00220,True,5.000000000,0,1540.0000,0.00,0.00,0.00,0.00,7700.00,0.00,False,
