ProductId,Quantity,Bonus,Price,DiscRatio1,DiscRatio2,STValue,STRatio,TTLValue,TTLSalestax,IsDeleted,UserNo
01184,25.000000000,0.000000000,367.000000,0.00,0.00,0.00,0.00,9175.000000,0.00,False,
01187,24.000000000,0.000000000,200.000000,0.00,0.00,0.00,0.00,4800.000000,0.00,False,
01189,50.000000000,0.000000000,590.000000,0.00,0.00,0.00,0.00,29500.000000,0.00,False,
01195,35.000000000,0.000000000,380.000000,0.00,0.00,0.00,0.00,13300.000000,0.00,False,
01201,60.000000000,0.000000000,600.000000,0.00,0.00,0.00,0.00,36000.000000,0.00,False,
02002,20.000000000,0.000000000,180.000000,0.00,0.00,0.00,0.00,3600.000000,0.00,False,
02003,15.000000000,0.000000000,216.000000,0.00,0.00,0.00,0.00,3240.000000,0.00,False,
02004,220.000000000,0.000000000,208.000000,0.00,0.00,0.00,0.00,45760.000000,0.00,False,
02006,3.000000000,0.000000000,180.000000,0.00,0.00,0.00,0.00,540.000000,0.00,False,
02010,2500.000000000,0.000000000,10.000000,0.00,0.00,0.00,0.00,25000.000000,0.00,False,
02013,136.000000000,0.000000000,390.000000,0.00,0.00,0.00,0.00,53040.000000,0.00,False,
02014,290.000000000,0.000000000,390.000000,0.00,0.00,0.00,0.00,113100.000000,0.00,False,
02015,70.000000000,0.000000000,270.000000,0.00,0.00,0.00,0.00,18900.000000,0.00,False,
02018,5200.000000000,0.000000000,12.000000,0.00,0.00,0.00,0.00,62400.000000,0.00,False,
02019,15000.000000000,0.000000000,11.500000,0.00,0.00,0.00,0.00,172500.000000,0.00,False,
02020,11000.000000000,0.000000000,12.000000,0.00,0.00,0.00,0.00,132000.000000,0.00,False,
02032,700.000000000,0.000000000,155.000000,0.00,0.00,0.00,0.00,108500.000000,0.00,False,
02033,650.000000000,0.000000000,155.000000,0.00,0.00,0.00,0.00,100750.000000,0.00,False,
02034,606.000000000,0.000000000,80.000000,0.00,0.00,0.00,0.00,48480.000000,0.00,False,
02035,850.000000000,0.000000000,30.000000,0.00,0.00,0.00,0.00,25500.000000,0.00,False,
02042,200.000000000,0.000000000,40.000000,0.00,0.00,0.00,0.00,8000.000000,0.00,False,
02051,12500.000000000,0.000000000,30.000000,0.00,0.00,0.00,0.00,375000.000000,0.00,False,
02053,950.000000000,0.000000000,70.000000,0.00,0.00,0.00,0.00,66500.000000,0.00,False,
02059,190.000000000,0.000000000,185.000000,0.00,0.00,0.00,0.00,35150.000000,0.00,False,
02086,1150.000000000,0.000000000,12.500000,0.00,0.00,0.00,0.00,14375.000000,0.00,False,
02097,800.000000000,0.000000000,220.000000,0.00,0.00,0.00,0.00,176000.000000,0.00,False,
02128,51.000000000,0.000000000,1000.000000,0.00,0.00,0.00,0.00,51000.000000,0.00,False,
02172,230.000000000,0.000000000,30.000000,0.00,0.00,0.00,0.00,6900.000000,0.00,False,
02173,100.000000000,0.000000000,145.000000,0.00,0.00,0.00,0.00,14500.000000,0.00,False,
02191,15500.000000000,0.000000000,17.000000,0.00,0.00,0.00,0.00,263500.000000,0.00,False,
02213,450.000000000,0.000000000,155.000000,0.00,0.00,0.00,0.00,69750.000000,0.00,False,
02222,230.000000000,0.000000000,40.000000,0.00,0.00,0.00,0.00,9200.000000,0.00,False,
02224,5500.000000000,0.000000000,11.500000,0.00,0.00,0.00,0.00,63250.000000,0.00,False,
02232,500.000000000,0.000000000,30.000000,0.00,0.00,0.00,0.00,15000.000000,0.00,False,
02258,120.000000000,0.000000000,45.000000,0.00,0.00,0.00,0.00,5400.000000,0.00,False,
02274,600.000000000,0.000000000,80.000000,0.00,0.00,0.00,0.00,48000.000000,0.00,False,
02277,750.000000000,0.000000000,155.000000,0.00,0.00,0.00,0.00,116250.000000,0.00,False,
