SerialNo,AccountNo,VoucherNo,VoucherDate,Narration,Debit
142,547,21,05/22/2026 00:00:00,Shopper,20400.00
143,64002,21,05/22/2026 00:00:00,Anwer Bijlee saman House ,4000.00
144,52055,21,05/22/2026 00:00:00,Petrol ,500.00
145,610022,22,05/22/2026 00:00:00,Phosphate ,214600.00
146,64002,22,05/22/2026 00:00:00,House Stone ,175000.00
147,610019,23,05/23/2026 00:00:00,Silver Bottle,54500.00
148,52062,23,05/23/2026 00:00:00,Phosphate rent,65000.00
149,52023,23,05/23/2026 00:00:00,Factory Bijlee pipe,67000.00
150,52055,23,05/23/2026 00:00:00,petrol,4000.00
151,64002,23,05/23/2026 00:00:00,House Cement,44675.00
152,52023,23,05/23/2026 00:00:00,Mian Cement,600000.00
153,52023,23,05/23/2026 00:00:00,Nasir Rait,60000.00
154,547,23,05/23/2026 00:00:00,SRC ,207302.00
155,620041,23,05/23/2026 00:00:00,Faisal Salary,100000.00
164,52014,24,05/24/2026 00:00:00,Labour Salary,524166.00
165,52014,24,05/24/2026 00:00:00,Anwer,160000.00
166,610012,24,05/24/2026 00:00:00,,500000.00
167,610019,24,05/24/2026 00:00:00,Spray Bottle ,500000.00
168,52023,24,05/24/2026 00:00:00,Nasir Mistry,100000.00
169,64002,24,05/24/2026 00:00:00,Shebaz Mistry,25000.00
170,64002,24,05/24/2026 00:00:00,Ameen Wood,20000.00
171,52055,24,05/24/2026 00:00:00,Petrol,3000.00
172,547,24,05/24/2026 00:00:00,Labour Over time,141050.00
173,64002,25,05/25/2026 00:00:00,Zulfiqar Lohaar,20000.00
174,52014,25,05/25/2026 00:00:00,Kaleem+Kashif+A.R+A.Z+Arshad+Mehmood+Zafer ,1170000.00
175,64002,25,05/25/2026 00:00:00,Nasir Saintry,66000.00
176,52015,26,05/26/2026 00:00:00,Zain+Saim+Ateeq+Adeel+Ammar+Azhar+Saqlain+Ali+Noor+Waseem+Haroon+Abdullah+,1210000.00
177,548,26,05/26/2026 00:00:00,Zain+Haroon,158481.00
178,64002,26,05/26/2026 00:00:00,Ameen Wood,150000.00
179,52055,26,05/26/2026 00:00:00,Petrol,23000.00
180,64002,26,05/26/2026 00:00:00,Eid Qurbani,200000.00
181,547,26,05/26/2026 00:00:00,Labour Unloading,41240.00
182,52015,27,05/30/2026 00:00:00,Dr.Khalid Fsd,300000.00
183,52055,27,05/30/2026 00:00:00,Petrol,3000.00
184,52054,27,05/30/2026 00:00:00,,15000.00
185,52015,27,05/30/2026 00:00:00,Dr.Wadood Sahiwal,100000.00
186,64002,28,05/31/2026 00:00:00,Mistry Shebaz ,10000.00
187,64002,28,05/31/2026 00:00:00,Cement,6000.00
188,64002,28,05/31/2026 00:00:00,Anwer Bijlee Saman,5000.00
189,64002,28,05/31/2026 00:00:00,Saintry Saman,10000.00
191,52023,29,06/01/2026 00:00:00,Mian Cement,200000.00
192,64002,29,06/01/2026 00:00:00,Cement House ,6390.00
193,64002,29,06/01/2026 00:00:00,House Stone,20000.00
194,64002,29,06/01/2026 00:00:00,Masjid,70000.00
195,52009,29,06/01/2026 00:00:00,,610840.00
196,64002,29,06/01/2026 00:00:00,House Use,2500.00
197,52023,29,06/01/2026 00:00:00,Factory Rejistry FEIDMC,150000.00
198,610022,30,06/02/2026 00:00:00,Phosphate,211715.00
199,52055,30,06/02/2026 00:00:00,Petrol,10000.00
200,548,30,06/02/2026 00:00:00,DR.Khalid fsd,94000.00
201,610022,30,06/02/2026 00:00:00,Bentonite Hasnaat,130000.00
202,52062,30,06/02/2026 00:00:00,Bentonite Rent,16500.00
203,610018,30,06/02/2026 00:00:00,Molasses,104840.00
204,52062,30,06/02/2026 00:00:00,Bility,3000.00
205,52010,30,06/02/2026 00:00:00,,318000.00
206,547,30,06/02/2026 00:00:00,Shopper,22000.00
207,52001,30,06/02/2026 00:00:00,,37990.00
208,610018,30,06/02/2026 00:00:00,Wheat Bran,143220.00
209,52062,30,06/02/2026 00:00:00,Phosphate Rent,61000.00
210,610018,30,06/02/2026 00:00:00,CSL,52500.00
211,54001,31,06/03/2026 00:00:00,,1720000.00
212,64002,31,06/03/2026 00:00:00,House Aient,8400.00
213,64002,31,06/03/2026 00:00:00,Saintry,4000.00
214,546,31,06/03/2026 00:00:00,Sakhar Tour,30000.00
215,52023,32,06/04/2026 00:00:00,Factory Rejistry FEIDMC,210000.00
216,52023,32,06/04/2026 00:00:00,Naisr Ali,300000.00
217,54001,32,06/04/2026 00:00:00,,2050000.00
218,547,32,06/04/2026 00:00:00,Shopper,19000.00
219,64002,32,06/04/2026 00:00:00,House Stone+Tile+Rait Bajree,58640.00
220,610019,32,06/04/2026 00:00:00,Hamid Bucket,55000.00
221,64002,33,06/05/2026 00:00:00,House Use ,300000.00
222,64002,33,06/05/2026 00:00:00,House Mistry Shebaz,30000.00
223,54001,33,06/05/2026 00:00:00,Ishaq,500000.00
224,610018,34,06/06/2026 00:00:00,Shokat UAF,245000.00
225,610018,34,06/06/2026 00:00:00,Na.bicarbonate,25600.00
226,547,34,06/06/2026 00:00:00,Shopper+Petrol,21550.00
227,64002,34,06/06/2026 00:00:00,House Use ,31000.00
228,64002,34,06/06/2026 00:00:00,House Anwer Samaan,30000.00
229,52005,34,06/06/2026 00:00:00,Rabeel ADV Tax,300000.00
230,64002,35,06/07/2026 00:00:00,HOUSE TILE,28045.00
231,610018,35,06/07/2026 00:00:00,Pipper Mint + eucluptis oil + sodium sulphate ,46040.00
232,64002,35,06/07/2026 00:00:00,House exp,35000.00
233,64002,35,06/07/2026 00:00:00,Shahbaz Mistri ,10000.00
234,52009,36,06/08/2026 00:00:00,Rent car ,700000.00
235,54001,36,06/08/2026 00:00:00,Rent car,1230000.00
236,64002,36,06/08/2026 00:00:00,House tile,7000.00
237,52055,36,06/08/2026 00:00:00,Fuel exp,5000.00
238,64002,36,06/08/2026 00:00:00,LOHAR HOUSE EXP,17000.00
244,52023,37,06/08/2026 00:00:00,ORANG ZAIB LAWYER REGISTRY,1000000.00
245,64002,37,06/08/2026 00:00:00,SANTRY HOUSE EXP,20000.00
246,64002,37,06/08/2026 00:00:00,MISTRY EXP HOUSE ,76850.00
247,64002,37,06/08/2026 00:00:00,CENT HOUSE EXP,5000.00
248,52054,38,06/09/2026 00:00:00,LUNCH INMEETING,22000.00
249,52023,38,06/09/2026 00:00:00,ORANG ZAIB REGISTRY ,250000.00
250,52024,38,06/09/2026 00:00:00,HEAVAN OFFICE MAINTENANCE,47965.00
251,64002,38,06/09/2026 00:00:00,HOUSE EXP,75000.00
252,5113,39,06/10/2026 00:00:00,MACHINE REPAIR ,10000.00
253,52023,39,06/10/2026 00:00:00,ORANG ZAIB REGISTRY,250000.00
254,540001,39,06/10/2026 00:00:00,DIB ,60000.00
255,64002,39,06/10/2026 00:00:00,HOUSE EXP,2500.00
256,610018,39,06/10/2026 00:00:00,FAT OIL+STARCH+NA.SULPHATE+CA.CARBONATE,141450.00
257,64002,39,06/10/2026 00:00:00,HOUSE EXP ANWER ,10000.00
258,547,39,06/10/2026 00:00:00,SHOPPER BAG,2650.00
259,52062,39,06/10/2026 00:00:00,RIKSHA RENT,2900.00
260,52009,39,06/10/2026 00:00:00,RENT ,80000.00
261,540,40,06/11/2026 00:00:00,BILTY,25000.00
262,52023,40,06/11/2026 00:00:00,BUILDING REGISTRY,3224777.00
263,64002,40,06/11/2026 00:00:00,RAGRAY HOUSE EXP,30000.00
264,64002,40,06/11/2026 00:00:00,TILE HOUSE EXP,8100.00
265,52002,40,06/11/2026 00:00:00,INSTALLMMENT,100000.00
266,620041,40,06/11/2026 00:00:00,SALARY ZARFARAZ,150000.00
267,620041,40,06/11/2026 00:00:00,NAJAM SALARY,100000.00
268,610019,40,06/11/2026 00:00:00,BOTTLE,133200.00
269,610018,40,06/11/2026 00:00:00,STARCH+EUCLUTIS OIL+PIPER MINT OIL,36850.00
270,52001,40,06/11/2026 00:00:00,RASHAN,40500.00
271,52062,40,06/11/2026 00:00:00,,1500.00
272,548,40,06/11/2026 00:00:00,ZAFAR ULLAH MARKETING EXP,73282.00
273,64002,41,06/12/2026 00:00:00,HOUSE EXP,70000.00
274,610014,41,06/12/2026 00:00:00,PAID,2000000.00
275,52015,41,06/12/2026 00:00:00,KASHIF MANHAS,100000.00
276,546,41,06/12/2026 00:00:00,F. TOUR WAMIQA CASE FILE FEEC,60000.00
277,64002,42,06/13/2026 00:00:00,HOUSE EXP,2000.00
278,610018,42,06/13/2026 00:00:00,MAG CHLORIDE+AMM CHLORIDE + POTASSIUM,41250.00
279,52054,42,06/13/2026 00:00:00,,1000.00
280,52055,42,06/13/2026 00:00:00,PETROL,1000.00
281,52062,42,06/13/2026 00:00:00,RENT,2500.00
282,547,42,06/13/2026 00:00:00,SHOPER,19000.00
283,52054,42,06/13/2026 00:00:00,KFC,10000.00
284,64002,43,06/14/2026 00:00:00,MISTRI SHAHBAZ,1000.00
285,52055,43,06/14/2026 00:00:00,PETROL,14000.00
286,620041,43,06/14/2026 00:00:00,FAISAL SALARY,50000.00
287,64002,43,06/14/2026 00:00:00,HOUSE EXP,18000.00
288,52024,44,06/15/2026 00:00:00,,46430.00
289,610018,44,06/15/2026 00:00:00,EUCLUPTAS + PIPER + MINT OIL,44200.00
290,610019,44,06/15/2026 00:00:00,WHITE BORE,5400.00
291,52062,44,06/15/2026 00:00:00,RENT,10000.00
292,64002,44,06/15/2026 00:00:00,,3250.00
293,547,44,06/15/2026 00:00:00,MISTRI EXP,1000.00
294,547,44,06/15/2026 00:00:00,CHUHLA,2650.00
295,64002,44,06/15/2026 00:00:00,M TAG,5000.00
296,64002,45,06/16/2026 00:00:00,HOUSE CEMENT,26000.00
297,52023,45,06/16/2026 00:00:00,ORANG ZAIB REGISTRY,1500000.00
298,610014,46,06/17/2026 00:00:00,,500000.00
299,540,46,06/17/2026 00:00:00,,775564.00
300,64002,46,06/17/2026 00:00:00,HOSUE REGRAYE,20000.00
301,12001,46,06/17/2026 00:00:00,INSTALLMENT,325372.00
302,64002,46,06/17/2026 00:00:00,CEMENT,5000.00
303,64002,47,06/18/2026 00:00:00,,11900.00
304,52055,47,06/18/2026 00:00:00,PETROL,5000.00
305,64002,47,06/18/2026 00:00:00,HOUSE BAJRI + RAIT,33000.00
306,64002,47,06/18/2026 00:00:00,HOUSE EXP,30000.00
307,548,47,06/18/2026 00:00:00,SALE PROMOTION EXP,442572.00
308,548,47,06/18/2026 00:00:00,AMMAR EXP,60014.00
309,64002,48,06/19/2026 00:00:00,HOUSE EXP,18000.00
310,610004,49,06/20/2026 00:00:00,,500000.00
311,610016,49,06/20/2026 00:00:00,,500000.00
312,64002,49,06/20/2026 00:00:00,SANTRAY SAMAAN,17500.00
313,64002,49,06/20/2026 00:00:00,NASIR MINTRY,5000.00
314,64002,49,06/20/2026 00:00:00,SHAHBAZ MASTRI,10000.00
315,52055,49,06/20/2026 00:00:00,PETROL,4000.00
316,52023,49,06/20/2026 00:00:00,ANWER MISTRY,23000.00
317,547,49,06/20/2026 00:00:00,BILAL LAB,10000.00
318,64002,49,06/20/2026 00:00:00,NASIR MISTRY,200000.00
319,610019,49,06/20/2026 00:00:00,HAMMID BOTTLE PURCHASED,500000.00
320,610018,50,06/21/2026 00:00:00,SODIUM SOLPHAT,10200.00
321,52001,50,06/21/2026 00:00:00,CHINI,1500.00
322,52062,50,06/21/2026 00:00:00,BILTY,7250.00
323,547,50,06/21/2026 00:00:00,SHOPER,18500.00
324,52055,50,06/21/2026 00:00:00,500,500.00
325,548,51,06/22/2026 00:00:00,SALE PROMOTION,103250.00
326,64002,51,06/22/2026 00:00:00,HOUSE EXP,35000.00
327,610018,51,06/22/2026 00:00:00,SODIUM SOLPHETE,18500.00
328,547,51,06/22/2026 00:00:00,SHOPER,2100.00
329,52062,51,06/22/2026 00:00:00,RIKHSHA RENT,2300.00
330,52055,51,06/22/2026 00:00:00,PETROL,1000.00
331,610018,51,06/22/2026 00:00:00,EXT,21000.00
341,610019,53,06/24/2026 00:00:00,IMRAN BOTTLE,500000.00
342,52055,53,06/24/2026 00:00:00,PETROL,4000.00
343,64002,53,06/24/2026 00:00:00,HOUSE TILE,40000.00
344,64002,53,06/24/2026 00:00:00,HOUSE LABOUR EXP,47400.00
345,52001,53,06/24/2026 00:00:00,RASHAN,41000.00
346,610019,53,06/24/2026 00:00:00,DRAPER,19500.00
347,610018,53,06/24/2026 00:00:00,AL ABSAAR,100000.00
348,610021,54,06/25/2026 00:00:00,,500000.00
